Feedback;Comment;Tag 1 (Category);Tag 2 (App);Tag 3 (Device)
none;Konga is very reliable...this was my first shopping experience with konga, and i must say, i am impressed.;Mobile Phones;KWK;Desktop Web
Not yet;Okay;Men's Shoes;SHQ;Konga App
Creating a Kongapay account.;Products that are not readily available should not be posted online. This was my experience with my first order.;Mobile Phones;KWK & SHQ;Desktop Web
delivery;my very first purchase with Konga has not been a good one. I am still expecting my ordered good 7 days after I was told the item has been shipped within Lagos. No one has called me to let me know why there has been a delay. Very poor;Furniture;SHQ;Desktop Web
When no information was given when I tried to track my order for the first 3days the order was made. ;;Women's Accessories;SHQ;Mobile Web
I downloaded the app and ordered for some items, on the checkout it indicated an error and I tried again, it was still the same thing. First bank ended up discounting me for what didn't go tru on the sight and till today I have not been refunded my money. It's almost a month now. So my trust on Konga is not so strong anymore ;You need to improves on the app.;Hair Centre;SHQ;Mobile Web
;Delivery charge is very very high;Women's Wear;SHQ;Konga App
None;Some price off some product are very expensive;Mobile Phones;SHQ;Mobile Web
Delivery ;Am expecting you to improve on delivery issues ;Special Offers;KWK;Mobile Web
Not happy . i have not recieved my order;Delievery of goods should be exact;Watches;SHQ;Konga App
none;job well done;Electronic Accessories;SHQ;Mobile Web
No difficulty;They should keep it up and continue to be faithful;Automotive Parts & Accessories;SHQ;Desktop Web
No difficulty;Keep it up;Men's Accessories;SHQ;Mobile Web
Non. ;There are new products coming into market.  I just want to say you should always try to be up to date. Especially regarding phone accessories. Overall,  I must commend your service. I'd rate you 5 stars and of course have already advertised your service to several. Kudos;Mobile Phones;SHQ;Mobile Web
;Payment of N3000 for places outside Lagos is not helping matters. I like the products but the shipping price is too much, considering the distance between your offices and where the products is being shipped to;Mobile Phones;KWK;Desktop Web
I placed an order for about two weeks now and it is yet to be delivered only for promises and excuses.;I think excuses are for the incompetent  Please if you want to have good customer support team the owner of this number is not a professional 08065114605 rather he will drag this beautiful industry backward. My observation;Automotive Parts & Accessories;SHQ;Konga App
None. Well, except the suspense that came with it. ;;Special Offers;KWK;Konga App
Delivery time;The delivery time is not encouraging. They are full of excuses and it hurts;Large Appliances;SHQ;Mobile Web
Searching for specific products;;Printers, Scanners and Accessories;KWK;Mobile Web
No point,I've never experienced any difficulty;I suggest Konga should bring down the shipping fee because a times you purchase up to 10 products at same time but you have to pay the shipping fee for each instead paying as a bulk;Easter Came Early Fashion;KWK & SHQ;Konga App
Delivery;Better customer relationship;Watches;SHQ;Desktop Web
Money refund;Control pricing from other sellers and the Web site is a little heavy when loading;Tools;KWK & SHQ;Mobile Web
None;It was really nice shopping with konga;0;KWK;Desktop Web
D delivery. D some of those delivery their attitudes was nothing 2 write home about ;D shipping fees r just too much I mean thats inhuman I mean thats not faur. Yes its not fact that konga is great but that is one of the major reason people just leave n go 2 somewhere where d delivery is more affordable ;Makeup;SHQ;Mobile Web
N/A this was my first time with you and it was a good experience. ;Pricing is the key, make it count. ;Kitchen and Dining;SHQ;Mobile Web
Shipment delay, it took 8 days for my shipment to get to my state, and emails was sent to me that my item was on my way to me, I called the warri office with the phone number in the delivery mail and the response was a bit blunt and I still don't have my item, that's very very poor service for a N3000 delivery service that was supposed to deliver a N4000 item;Improve delivery speed and efficiency to match with delivery price;Phone and Tablet Accessories;SHQ;Desktop Web
None;Everything working here perfectly...;Phone and Tablet Accessories;SHQ;Konga App
NONE;I will urge Konga to have more products up for sale to make customer shopping more easy and with affordable prices;Large Appliances;KWK;Desktop Web
Creating my account;Ok but ensure items not in stock are removed from the list promptly. ;Generators & Power Supplies;SHQ;Mobile Web
Nil;Konga is doing very well & remains my number one online retailer.;Watches;SHQ;Mobile Web
Delivery fee (Charges);Customers are discouraged because of the different delivery charges for different products because they are from different stores;Tools;SHQ;Desktop Web
After the seller has shipped the goods it took more time to go through the different stops in lagos.;The shipping time around lagos should be greatly reduced and also the delivery price should be slightly reduced.;Men's Shoes;SHQ;Mobile Web
COLLECTION POINT;SHOULD ENHANCE COLLECTION POINT;Laptops;KWK & SHQ;Desktop Web
During payment with POS using credit card. The POS gave error. I had to make withdrawal with ATM to be able to pay;;Home Furnishings;SHQ;Desktop Web
Not yet;;Automotive Parts & Accessories;SHQ;Konga App
The app is sooooo slow. You guys need to work on it.;I bought a product that was not working and a screen guard that was broken. So sad experiences. ;Home Furnishings;SHQ;Mobile Web
;;Personal Care;SHQ;Mobile Web
payment mode. it was dicey using kongapay cos of online fraud.n now dat i choose pay on delivery i was left on my own to be tracking d sellers. after paying into konga acct to offset d bills. its not a gd experience compared to d 1st time i bot thru konga;i think d delivery method shld be improved;Tools;SHQ;Konga App
there was no difficulty whatsoever ;;Laptops;SHQ;Konga App
At the point of shipping I have not receive my order yet I left work today I got a message from kos that my order is on its way to my address so I have to waiting for the order and yet it did not come ;Suggestion. Notify the customer in time and still notify the customer as soon as u take of to there address and Pls give a specific day u will deliver ;Phone and Tablet Accessories;SHQ;Desktop Web
When I open the package after delivery, it is often a wrong item (either colour, shape or the overall item);;?Baby Essentials;SHQ;Konga App
Getting my order delivered;;Men's Accessories;SHQ;Mobile Web
it was a seamless experience;You should have pickup offices for customers that are not comfortable paying the delivery fees;Printers, Scanners and Accessories;KWK;Desktop Web
Sometimes delivary takes too much time without excuse from the seller;;Mobile Phones;SHQ;Konga App
Waiting time for k;;Printers, Scanners and Accessories;KWK;Desktop Web
I have never experienced any difficulty in transacting with Konga.;I am impressed with the services rendered by Konga, even though I wish they may reduce the shipping fee to say N500.;Mobile Phones;KWK;Desktop Web
