EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=86400
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=-240
a1458331200,105.92,106.5,105.19,106.34,43402289,1
3,105.91,107.65,105.1401,105.93,35180796,1
4,106.72,107.29,105.21,105.25,32232567,1
5,106.13,107.07,105.9,106.48,25452612,1
6,105.67,106.25,104.89,105.47,25480914,1
10,105.19,106.19,105.06,106,19303557,1
11,107.68,107.79,104.88,104.89,30774115,1
12,109.56,110.42,108.6,108.65,45159861,1
13,108.99,109.9,108.88,109.72,25685672,1
14,109.99,110,108.2,108.78,25626163,1
17,111.12,112.19,110.27,110.42,37243224,1
18,109.81,110.73,109.42,109.51,26495312,1
19,110.96,110.98,109.2,110.23,26047772,1
20,108.54,110.42,108.121,109.95,30881022,1
21,108.66,109.77,108.17,108.91,23514462,1
24,109.02,110.61,108.83,108.97,28313525,1
25,110.44,110.5,108.66,109.34,26812000,1
26,112.04,112.34,110.8,110.8,32691799,1
27,112.1,112.39,111.33,111.62,25337435,1
28,109.85,112.3,109.73,112.11,46418482,1
31,107.48,108.95,106.94,108.89,60834027,1
32,106.91,108,106.23,107.88,32292344,1
33,107.13,108.09,106.06,106.64,28666865,1
34,105.97,106.93,105.52,106.93,31356434,1
35,105.68,106.48,104.62,105.01,33477142,1
38,105.08,105.65,104.51,105,27950966,1
39,104.35,105.3,103.91,103.91,40338403,1
40,97.82,98.71,95.68,96,113538389,1
41,94.83,97.88,94.25,97.61,81990674,1
42,93.74,94.72,92.51,93.99,68334434,1
45,93.64,94.08,92.4,93.965,47736879,1
46,95.18,95.74,93.68,94.2,56533960,1
47,94.19,95.9,93.82,95.2,40824776,1
48,93.24,94.07,92.68,94,35763138,1
49,92.72,93.45,91.85,93.37,43458189,1
52,92.79,93.77,92.59,93,32855251,1
53,93.42,93.57,92.11,93.33,33592465,1
54,92.51,93.57,92.46,93.48,28539912,1
55,90.34,92.78,89.47,92.72,76109795,1
56,90.52,91.67,90,90,44188153,1
59,93.88,94.39,91.65,92.39,61140610,1
60,93.49,94.7,93.01,94.55,46507449,1
61,94.56,95.21,93.89,94.16,41923114,1
62,94.2,94.64,93.57,94.64,29693945,1
63,95.22,95.43,94.52,94.64,31804564,1
66,96.43,97.19,95.67,95.87,37860535,1
67,97.9,98.09,96.84,97.22,35036561,1
68,99.62,99.74,98.11,98.67,38168760,1
69,100.41,100.73,98.64,99.68,56331159,1
