EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=86400
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=-240
a1432670400,2.29,2.3694,2.282,2.3501,2836,1
1,2.28,2.28,2.27,2.27,303,1
2,2.35,2.9599,2.18,2.18,10965,1
3,2.47,2.47,2.3,2.38,1542,1
6,2.43,2.4383,2.3276,2.4383,813,1
7,2.46,2.4749,2.31,2.31,2300,1
8,2.42,2.4748,2.36,2.4748,1676,1
9,2.45,2.45,2.3201,2.3201,2173,1
10,2.33,2.428,2.28,2.28,816,1
13,2.4499,2.4499,2.4,2.4,395,1
14,2.3101,2.3101,2.3101,2.3101,500,1
16,2.2158,2.27,2.2158,2.27,2150,1
17,2.23,2.24,2.22,2.22,6507,1
20,2.16,2.1699,2.07,2.0701,9000,1
21,2.22,2.22,2.22,2.22,135,1
22,2.28,2.28,2.22,2.22,602,1
27,2.22,2.28,2.18,2.28,1684,1
28,2.44,2.44,2.2799,2.2799,2076,1
29,2.47,2.47,2.47,2.47,100,1
30,2.48,2.48,2.48,2.48,133,1
31,2.49,2.49,2.49,2.49,100,1
34,2.48,2.48,2.19,2.1901,8203,1
35,2.43,2.43,2.2,2.2101,2900,1
36,2.35,2.35,2.35,2.35,106,1
37,2.26,2.3,2.2,2.2,400,1
41,2.37,2.53,2.206,2.26,802,1
42,2.18,2.18,2.18,2.18,300,1
44,2.2,2.2,2.2,2.2,100,1
48,2.2024,2.2024,2.2024,2.2024,197,1
49,2.2101,2.2101,2.21,2.21,320,1
50,2.2,2.462,2.2,2.462,684,1
51,2.2,2.2,2.2,2.2,184,1
55,2.15,2.23,2.15,2.21,13355,1
56,2.1501,2.1501,2.15,2.15,1380,1
57,2.2,2.2,2.05,2.05,745,1
58,2.235,2.235,2.2,2.2,2000,1
59,2.15,2.22,2.15,2.22,4054,1
62,2.1735,2.1735,2.0301,2.0301,1112,1
63,2.09,2.249,2.06,2.0805,4406,1
64,2.15,2.15,2.06,2.08,5500,1
66,2.0701,2.0701,2.0701,2.0701,394,1
69,2.07,2.07,2.07,2.07,130,1
70,2.07,2.07,2.07,2.07,130,1
71,2.0983,2.0983,2.0983,2.0983,1648,1
72,2.05,2.06,2.05,2.06,784,1
76,2.08,2.0905,2.08,2.0905,1500,1
77,2.3101,2.54,2.27,2.27,31205,1
78,2.3,2.4,2.25,2.39,11694,1
79,2.3899,2.3899,2.3899,2.3899,1097,1
80,2.44,2.44,2.27,2.27,700,1
83,2.28,2.28,2.28,2.28,120,1
84,2.2801,2.29,2.27,2.29,2000,1
85,2.44,2.44,2.31,2.31,220,1
86,2.2739,2.43,2.27,2.43,2200,1
87,2.2261,2.283,2.1929,2.283,2991,1
90,2.54,2.54,2.15,2.16,2680,1
91,2.5,2.59,2.1501,2.59,742,1
92,2.27,2.27,2.27,2.27,100,1
94,2.19,2.19,2.19,2.19,100,1
97,2.18,2.18,2.18,2.18,100,1
105,2.15,2.15,2.144,2.15,10626,1
107,2.34,2.36,2.17,2.36,433,1
108,2.35,2.35,2.18,2.35,431,1
111,2.35,2.35,2.35,2.35,237,1
112,2.24,2.33,2.16,2.2199,5625,1
113,2.34,2.34,2.28,2.28,240,1
114,2.32,2.37,2.32,2.35,1105,1
115,2.14,2.32,2.13,2.14,1301,1
118,2.14,2.14,2.14,2.14,422,1
119,2.09,2.09,2.09,2.09,130,1
120,2.14,2.14,2.1201,2.1201,787,1
126,2.0801,2.17,2.08,2.1156,1952,1
128,2.08,2.08,2.08,2.08,100,1
129,2.03,2.03,2.03,2.03,150,1
132,2.06,2.06,2.06,2.06,103,1
133,2.1176,2.1176,2.06,2.06,205,1
140,2.03,2.0301,2.03,2.0301,1601,1
148,2.11,2.11,2.03,2.03,200,1
150,2.1701,2.1701,2.1,2.104,3700,1
153,2.08,2.09,2.08,2.084,5038,1
154,2.1401,2.2,2.1401,2.2,490,1
TIMEZONE_OFFSET=-300
a1446584400,2.11,2.11,2.1,2.1,3144,1
2,2.2,2.2,2.0216,2.11,3251,1
8,2.14,2.17,2.14,2.17,1543,1
9,2.1,2.1,2.1,2.1,102,1
10,2,2.08,2,2.06,2057,1
13,2.0001,2.0001,2,2,674,1
14,2.0001,2.0001,2,2,456,1
15,1.8201,1.91,1.82,1.8999,2814,1
16,1.8601,1.89,1.82,1.84,14927,1
17,1.85,1.85,1.85,1.85,1734,1
20,1.75,1.8,1.72,1.8,1950,1
21,1.85,1.95,1.81,1.8399,15060,1
22,1.75,1.836,1.7001,1.836,3805,1
a1448647200,1.6924,1.7201,1.62,1.7201,6400,1
a1449003600,1.6201,1.6424,1.6201,1.6424,8050,1
1,1.56,1.6899,1.56,1.6573,5541,1
2,1.73,1.753,1.56,1.5652,5459,1
3,1.73,1.75,1.7,1.75,1351,1
7,1.6001,1.77,1.57,1.6701,120465,1
8,1.59,1.8,1.55,1.55,5196,1
9,1.6,1.86,1.53,1.57,13090,1
10,1.6501,1.78,1.6,1.78,2833,1
13,1.4354,1.77,1.4354,1.64,10697,1
14,1.56,1.59,1.56,1.59,244,1
15,1.5,1.7,1.44,1.7,6220,1
16,1.465,1.68,1.44,1.5,17334,1
17,1.5524,1.5524,1.47,1.47,811,1
20,1.4513,1.494,1.32,1.44,5166,1
21,1.36,1.46,1.36,1.45,3431,1
22,1.31,1.68,1.31,1.36,10246,1
a1450980000,1.36,1.44,1.36,1.44,202,1
a1451336400,1.37,1.5,1.33,1.33,3455,1
1,1.35,1.35,1.33,1.35,2504,1
2,1.5,1.51,1.4,1.4,3395,1
3,1.39,1.49,1.36,1.36,2885,1
8,1.6315,1.65,1.6315,1.65,1115,1
9,1.7901,1.992,1.56,1.56,11182,1
10,1.78,1.78,1.5619,1.75,2500,1
11,1.7281,1.7281,1.7281,1.7281,500,1
14,1.56,1.61,1.56,1.61,677,1
15,1.6999,1.6999,1.5,1.56,1419,1
16,1.71,1.99,1.58,1.84,5351,1
17,1.9445,1.9445,1.66,1.66,409,1
22,1.9999,1.9999,1.6733,1.6733,210,1
23,1.9899,1.9899,1.85,1.85,903,1
25,1.4,1.69,1.35,1.69,8288,1
30,1.5,1.62,1.49,1.62,1628,1
31,1.4575,1.4575,1.23,1.3,1705,1
32,1.6,1.76,1.354,1.354,5347,1
46,1.69,1.71,1.69,1.71,570,1
51,1.49,1.5199,1.25,1.35,5805,1
52,1.5,1.5,1.5,1.5,714,1
64,1.43,1.43,1.314,1.314,250,1
66,1.43,1.43,1.43,1.43,516,1
67,1.3442,1.3442,1.3442,1.3442,373,1
70,1.3223,1.3399,1.3,1.3,3125,1
71,1.1636,1.1636,1.1636,1.1636,714,1
72,1.17,1.31,1.17,1.3,1100,1
73,1.28,1.5,1.2001,1.5,4071,1
74,1.08,1.2075,1.08,1.2075,1055,1
TIMEZONE_OFFSET=-240
a1457985600,1.3,1.43,1.191,1.191,12963,1
2,1.4086,1.5,1.3999,1.5,1852,1
3,1.52,1.53,1.52,1.53,201,1
4,1.4725,1.4725,1.4725,1.4725,101,1
7,1.33,1.3301,1.2917,1.2917,1707,1
8,1.4,1.4486,1.4,1.4486,350,1
16,1.2,1.4176,1.2,1.34,1522,1
21,1.26,1.49,1.21,1.36,18211,1
22,1.26,1.34,1.26,1.34,1000,1
24,1.3601,1.658,1.3601,1.47,5577,1
25,1.32,1.37,1.32,1.37,401,1
28,1.46,1.55,1.3,1.3,17912,1
29,1.41,1.67,1.41,1.67,1350,1
30,1.43,1.43,1.43,1.43,374,1
31,1.5,1.5,1.5,1.5,1116,1
32,1.3,1.39,1.3,1.39,303,1
37,1.4001,1.6599,1.28,1.54,46797,1
38,1.56,1.56,1.45,1.45,15821,1
39,1.3982,1.3982,1.3982,1.3982,434,1
42,1.45,1.45,1.45,1.45,103,1
43,1.35,1.61,1.35,1.61,5109,1
44,1.395,1.4,1.395,1.4,200,1
45,1.33,1.3459,1.33,1.3459,207,1
46,1.32,1.324,1.29,1.29,1741,1
49,1.3248,1.35,1.32,1.35,1502,1
50,1.42,1.42,1.4,1.4,700,1
56,1.2401,1.2401,1.2401,1.2401,1025,1
