EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=86400
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=-300
a511131600,0.0974,0.1026,0.0887,0.0000,30758400,1
1,0.1008,0.1026,0.0974,0.0000,7852896,1
4,0.1026,0.1035,0.1008,0.0000,33036768,1
5,0.1,0.1035,0.0991,0.0000,66403296,1
6,0.0982,0.1008,0.0974,0.0000,47846304,1
7,0.0956,0.0982,0.0948,0.0000,58377600,1
8,0.093,0.0974,0.0913,0.0000,59932800,1
11,0.0904,0.093,0.0895,0.0000,65222496,1
12,0.0922,0.0922,0.0895,0.0000,32051232,1
13,0.0948,0.0956,0.0913,0.0000,22729536,1
14,0.0965,0.0965,0.0948,0.0000,16828704,1
18,0.0956,0.0965,0.0939,0.0000,12860928,1
19,0.0948,0.0956,0.0948,0.0000,11078496,1
20,0.0956,0.0974,0.0948,0.0000,26985600,1
21,0.0965,0.0991,0.0965,0.0000,23017536,1
22,0.0965,0.0974,0.0965,0.0000,26553600,1
25,0.0948,0.0974,0.093,0.0000,16540704,1
26,0.0956,0.0974,0.0948,0.0000,10243296,1
27,0.0974,0.0982,0.0956,0.0000,12144096,1
28,0.0982,0.0991,0.0956,0.0000,13868928,1
29,0.1,0.1017,0.0991,0.0000,17203104,1
32,0.1008,0.1017,0.1,0.0000,12144096,1
33,0.1008,0.1008,0.0974,0.0000,9292896,1
34,0.1043,0.1052,0.1,0.0000,31881600,1
35,0.1052,0.1052,0.1043,0.0000,21983904,1
36,0.1017,0.1052,0.1008,0.0000,21609504,1
39,0.1017,0.1026,0.0991,0.0000,22902336,1
40,0.1,0.1017,0.1,0.0000,15535872,1
41,0.1004,0.1008,0.0991,0.0000,15593472,1
42,0.1104,0.1121,0.1,0.0000,62176032,1
43,0.1174,0.1221,0.1113,0.0000,85363200,1
TIMEZONE_OFFSET=-240
a515102400,0.1182,0.1191,0.1165,0.0000,28857600,1
1,0.1147,0.1182,0.1139,0.0000,30297600,1
2,0.1121,0.1156,0.1095,0.0000,30009600,1
3,0.1104,0.1121,0.1087,0.0000,54291168,1
4,0.1104,0.1121,0.1095,0.0000,20227104,1
7,0.1095,0.1104,0.1095,0.0000,3251232,1
8,0.1104,0.1121,0.1104,0.0000,9724896,1
9,0.1104,0.1113,0.1087,0.0000,5148864,1
10,0.1113,0.1113,0.1095,0.0000,3539232,1
11,0.1104,0.1113,0.1104,0.0000,6070464,1
14,0.1113,0.1139,0.1104,0.0000,10473696,1
15,0.1121,0.113,0.1113,0.0000,3827232,1
16,0.1113,0.1121,0.1113,0.0000,9292896,1
17,0.1113,0.113,0.1113,0.0000,3798432,1
18,0.1121,0.1147,0.1113,0.0000,11942496,1
21,0.1095,0.1121,0.1095,0.0000,10992096,1
22,0.1095,0.1104,0.1087,0.0000,4374432,1
23,0.1078,0.1104,0.1078,0.0000,8083296,1
24,0.1078,0.1087,0.1078,0.0000,4403232,1
25,0.1078,0.1095,0.1078,0.0000,4086432,1
29,0.1113,0.1113,0.1078,0.0000,13868928,1
30,0.1147,0.1147,0.1113,0.0000,15507072,1
31,0.1174,0.1191,0.1139,0.0000,45628704,1
32,0.1208,0.1234,0.1182,0.0000,32800032,1
35,0.1182,0.1217,0.1182,0.0000,19708704,1
36,0.1182,0.1182,0.1165,0.0000,5004864,1
37,0.1174,0.1191,0.1165,0.0000,4720032,1
38,0.1191,0.1191,0.1165,0.0000,13696128,1
39,0.1191,0.1191,0.1174,0.0000,3424032,1
42,0.1139,0.1191,0.1139,0.0000,12662496,1
43,0.1139,0.1139,0.1121,0.0000,3424032,1
44,0.1139,0.1139,0.1121,0.0000,2304000,1
45,0.1095,0.1139,0.1087,0.0000,13696128,1
46,0.1095,0.1104,0.1087,0.0000,7881696,1
49,0.1087,0.1104,0.1078,0.0000,9580896,1
50,0.1104,0.1121,0.1095,0.0000,13062528,1
51,0.1095,0.1104,0.1078,0.0000,4345632,1
52,0.1087,0.1104,0.1078,0.0000,8457696,1
53,0.1091,0.1095,0.1087,0.0000,3798432,1
56,0.1104,0.1104,0.1069,0.0000,46147104,1
57,0.1095,0.1113,0.1087,0.0000,14556672,1
58,0.1078,0.1104,0.1078,0.0000,15219072,1
59,0.1043,0.1087,0.1043,0.0000,19132704,1
60,0.1035,0.1052,0.1026,0.0000,10387296,1
63,0.1069,0.1095,0.1026,0.0000,62291232,1
64,0.1069,0.1069,0.1061,0.0000,47529504,1
65,0.1069,0.1069,0.1061,0.0000,52566336,1
66,0.1087,0.1095,0.1078,0.0000,14128128,1
70,0.1043,0.1087,0.1043,0.0000,14041728,1
71,0.1017,0.1043,0.1008,0.0000,14243328,1
72,0.0974,0.1017,0.0965,0.0000,46089504,1
73,0.0948,0.0982,0.0904,0.0000,46838304,1
74,0.0974,0.0991,0.0948,0.0000,17375904,1
77,0.0961,0.0982,0.0948,0.0000,28569600,1
78,0.0974,0.0991,0.0948,0.0000,13177728,1
79,0.1008,0.1008,0.0982,0.0000,9350496,1
80,0.1026,0.1026,0.1,0.0000,6931296,1
81,0.1035,0.1043,0.1,0.0000,12316896,1
84,0.1035,0.1052,0.1035,0.0000,3510432,1
85,0.1069,0.1069,0.1035,0.0000,10502496,1
86,0.1043,0.1087,0.1043,0.0000,20774304,1
87,0.1078,0.1095,0.1061,0.0000,14128128,1
88,0.1087,0.1095,0.1078,0.0000,20428704,1
91,0.1061,0.1087,0.1061,0.0000,11798496,1
92,0.1035,0.1069,0.1017,0.0000,14041728,1
93,0.1,0.1035,0.0965,0.0000,26380800,1
94,0.0991,0.1008,0.0991,0.0000,15622272,1
95,0.0982,0.1,0.0974,0.0000,12889728,1
98,0.0982,0.0982,0.0956,0.0000,12432096,1
99,0.0974,0.0991,0.0974,0.0000,2822400,1
100,0.0965,0.0982,0.0948,0.0000,17433504,1
101,0.0956,0.0974,0.0948,0.0000,3654432,1
102,0.0965,0.0982,0.0956,0.0000,4144032,1
105,0.1,0.1008,0.0982,0.0000,7939296,1
106,0.1026,0.1026,0.1,0.0000,9984096,1
107,0.1035,0.1035,0.1017,0.0000,6873696,1
108,0.1061,0.1069,0.1035,0.0000,20111904,1
109,0.1065,0.1069,0.1052,0.0000,6099264,1
112,0.1052,0.1069,0.1052,0.0000,12777696,1
113,0.1052,0.1056,0.1035,0.0000,20371104,1
114,0.1043,0.1052,0.1043,0.0000,20745504,1
115,0.1043,0.1061,0.1043,0.0000,49487904,1
