EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=86400
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=-240
a1432670400,27.78,27.82,27.13,27.48,244408,1
1,27.82,28.05,27.275,27.9,235516,1
2,27.85,27.97,27,27.84,218739,1
3,27.76,27.85,27.51,27.79,184912,1
6,28.23,28.31,27.63,27.89,763763,1
7,28.33,28.61,28,28.2,222078,1
8,28.58,28.61,28.1,28.41,328130,1
9,28.85,28.9,28.31,28.49,319301,1
10,28.97,29.33,28.37,28.69,179208,1
13,28.99,29.22,28.64,28.9,201921,1
14,28.75,29.24,28.31,29,231697,1
15,28.77,29.065,28.46,28.85,155007,1
16,28.41,28.67,27.73,28.25,309326,1
17,28.09,28.53,27.9,28.38,126243,1
20,29.85,29.98,28,28.11,367956,1
21,29.8,30,29.05,29.51,283828,1
22,29.63,29.9899,29.4,29.92,161566,1
23,30.89,31.05,29.41,29.81,296995,1
24,31.09,31.88,30.74,30.99,313153,1
27,30.59,31.66,30.07,31.44,238371,1
28,30.71,31.02,30.24,30.66,152004,1
29,29.84,30.67,29.41,30.4,190877,1
30,30.58,30.67,29.4,30.03,201714,1
31,32.37,33.01,30.5,30.55,2506715,1
34,31.71,32.39,31.46,32.12,245031,1
35,32.19,32.27,31.24,31.88,393140,1
36,30.83,32.72,30.82,32.29,204451,1
37,30.29,30.62,29.8,30.62,193331,1
41,30.72,30.8579,29.766,29.93,216508,1
42,29.87,30.77,29.2,30.67,227651,1
43,29.53,29.765,29.18,29.66,173995,1
44,30.3,30.36,29.69,29.77,103265,1
45,31.58,31.64,30.42,30.42,123912,1
48,31.89,31.96,31.55,31.64,162706,1
49,31.99,32.44,31.64,31.75,71816,1
50,32.79,34.71,32.1,32.51,371439,1
51,33.61,34.03,32.48,33.07,315838,1
52,33.16,33.885,32.69,33.49,238401,1
55,33,33.7199,32.76,33.3,180048,1
56,33.19,33.48,32.78,33,176415,1
57,33.49,33.72,33.18,33.19,249124,1
58,33.31,33.96,33.1,33.68,199971,1
59,33.66,33.83,33.11,33.19,249287,1
62,33.29,33.7968,32.98,33.55,228602,1
63,33.15,33.56,32.28,33.27,175675,1
64,31.5,33.09,31.46,33.09,266505,1
65,31.66,32.145,31.01,31.49,155754,1
66,32.09,32.59,31.5,31.79,250490,1
69,31.69,32.13,31.37,32.02,231195,1
70,32.21,33.16,31.55,31.65,366021,1
71,33.82,33.87,32.23,32.25,212902,1
72,32.05,34.27,31.005,33.78,556061,1
73,38.31,39.59,32.36,32.36,942327,1
76,37.46,38.66,37.08,38.5,577501,1
77,36.74,37.83,36.64,36.97,281258,1
78,36.83,37.32,36.15,36.74,878441,1
79,37.02,37.73,36.54,37,941113,1
80,36.03,36.75,35.51,36.66,764054,1
83,36,36.39,35.6,36.09,733995,1
84,35.01,36,34.9,36,579426,1
85,35.21,35.53,34.67,34.77,351647,1
86,34.66,35.25,34.46,35,409383,1
87,34.02,34.37,32.6787,34.12,930677,1
90,33.01,34.5,31.22,32.3,452322,1
91,34.02,34.76,33.52,33.89,441696,1
92,34.59,35,33.24,34.77,281913,1
93,35.15,35.34,34.69,35,294025,1
94,34.99,35.19,34.4,35,207765,1
97,34.97,35.4697,34.69,34.77,316613,1
98,33.91,34.675,33.67,34.44,352025,1
99,34.96,35.04,33.59,34.19,221711,1
100,34.93,35.51,34.36,35.05,359134,1
101,34.92,35.1,34.47,34.51,226052,1
105,35.57,36.09,35.37,35.41,504733,1
106,34.82,36.15,34.62,35.7,333906,1
107,36.12,36.32,34.53,34.6,505389,1
108,36.13,36.19,35.52,36,420107,1
111,36.3,36.37,35.5,36.14,238331,1
112,36.14,36.63,35.87,36.23,187204,1
113,35.94,36.41,35.05,36.25,433835,1
114,36.85,37.32,35.73,35.99,615130,1
115,37.56,37.93,36.14,36.5,1552775,1
118,39.45,39.56,37.83,37.92,685950,1
119,38.51,39.69,38.36,39,386970,1
120,37.2,38.61,36.63,38.35,802466,1
121,34.76,36.98,34.65,36.9,884112,1
122,35.21,37.49,34.83,35.92,3453562,1
125,35.11,35.79,34.822,35.16,757816,1
126,35.99,36.26,34.84,35.13,648588,1
127,35.9,36.5,34.81,36.29,988775,1
128,32.2,35.72,31.21,35.72,1663452,1
129,32.055,32.58,30.88,31.91,869068,1
132,32.02,32.44,30.88,32.44,1240781,1
133,30.2,32.53,30,32.02,1606482,1
134,29.89,30.32,28.05,30.19,2221800,1
135,28.78,29.8,27.9403,29.46,2479261,1
136,29.22,29.8,28.8001,28.93,1514146,1
139,24.04,29.3737,23.53,29.03,8889458,1
140,24.23,26,23.3,24.88,5491096,1
141,23.77,24.48,23.3,23.93,1447086,1
142,23.69,24.077,22.58,23.62,1379462,1
143,24.64,25.64,24.35,25.41,1509148,1
146,24.07,24.87,23.82,24.39,558528,1
147,23.95,24.35,23.43,23.9,678303,1
148,23.4,24.19,23.06,23.99,891344,1
149,23.02,23.87,22.77,23.4,622305,1
150,23.07,23.62,22.62,22.99,933420,1
153,23.95,24.18,22.91,22.93,1395320,1
154,21.57,25.84,18.81,24.63,4169204,1
155,20.96,21.5999,20.29,21.49,2172210,1
156,20.84,21.01,20.06,20.77,1038559,1
157,20.98,21.23,20.75,20.9,1848598,1
TIMEZONE_OFFSET=-300
a1446498000,20.34,21.08,19.88,20.98,874657,1
1,20.3,20.54,20.1,20.48,773689,1
2,20.83,20.84,20.21,20.27,745530,1
3,21.34,21.69,20.6,20.76,1086663,1
4,21.92,22.21,21.0001,21.23,888480,1
7,22.89,22.97,21.95,22.05,1307703,1
8,24.65,25.04,22.65,22.77,1849286,1
9,24.13,24.74,23.48,24.48,1389111,1
10,22.93,24.37,22.85,24,729614,1
11,21.69,22.77,21.6075,22.77,947803,1
14,21.56,21.64,20.77,21.63,809815,1
15,21.23,22.04,20.95,21.48,900619,1
16,21.84,21.93,21.25,21.39,358251,1
17,22.39,22.62,21.97,22.18,617161,1
18,21.9,22.57,21.65,22.5,503833,1
21,22.8,22.85,21.4801,21.69,350344,1
22,23.58,23.6,22.52,22.59,325194,1
23,23.6,23.9291,23.36,23.49,272280,1
a1448647200,23.45,23.635,23.22,23.6,94263,1
a1448917200,24.12,24.58,22.8808,23.55,448891,1
1,24.58,24.65,23.93,24.15,514304,1
2,24.34,24.68,24,24.4,394839,1
3,23.54,24.93,23.38,24.63,543531,1
4,24.04,24.2,23.19,23.45,561248,1
7,25.22,25.34,23.835,24.04,463499,1
8,26.6,26.6399,24.7201,24.92,679520,1
9,26.28,27.02,25.87,26.6,674042,1
10,26.05,26.925,25.84,26.35,338067,1
11,25.55,26.54,25.19,25.67,343336,1
14,26.71,27.87,25.76,25.76,1374068,1
15,27.6,27.65,26.47,26.72,661222,1
16,28.08,28.77,27.42,27.77,698374,1
17,28.35,29,27.63,28.21,685780,1
18,27.38,29.25,27.29,28.27,3723069,1
21,27.67,28.03,27.01,27.61,413023,1
22,27.89,28.5,27.3,27.61,387542,1
23,28.11,28.48,27.54,27.89,356459,1
a1450980000,28.5,28.7,28.07,28.22,202196,1
a1451336400,28.56,28.6,27.54,28.51,317203,1
1,28.92,29.19,28.25,28.69,293766,1
2,28.28,29.45,28.19,28.38,362169,1
3,27.98,28.32,27.56,28.13,294663,1
7,27.04,27.5,26.36,27.21,530236,1
8,26.54,27.42,26.28,26.92,448850,1
9,26.38,26.53,25.9495,26.19,297213,1
10,25.23,26.47,24.5225,25.84,635223,1
11,24.32,25.79,24.22,25.31,364477,1
14,23.72,24.87,23.22,24.87,405094,1
15,23.27,24.1,22.43,23.82,1012093,1
16,21.85,23.51,21.54,23.4,618028,1
17,22.32,22.58,21.05,21.99,799393,1
18,21.26,21.86,20.48,21.79,985060,1
22,20.46,22.1635,19.91,21.55,1165923,1
23,19.96,20.19,18.85,20.15,852695,1
24,20.48,20.99,19.65,19.92,573675,1
25,21.07,21.23,20.39,20.78,509694,1
28,20.06,21.49,19.85,21.01,403667,1
29,20.17,20.27,18.98,20.02,600300,1
30,19.62,20.26,19.53,20.21,423305,1
31,19.67,20.07,19.26,19.75,398081,1
32,20.19,20.31,19.56,19.68,507070,1
