EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=86400
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=-240
a1432670400,18.61,19.68,18.22,19.68,997468,1
1,17.53,17.59,16.12,16.92,3053165,1
2,17.73,17.77,17.1,17.2,840079,1
3,18.06,18.16,17.7,18,1023721,1
6,18.84,19.45,18.3,18.3,1243115,1
7,20.31,20.35,18.84,18.85,876124,1
8,20.99,21.11,20.27,20.41,2423425,1
9,21.21,21.69,20.8,20.96,2009360,1
10,21.46,21.51,20.91,21.15,948383,1
13,20.65,21.58,20.37,21.5,868101,1
14,19.91,20.81,19.57,20.52,662686,1
15,21.85,22.59,21.82,22.39,3998179,1
16,21.71,22,21.61,21.84,3325495,1
17,21.71,21.85,21.58,21.75,2353959,1
20,21.77,22.07,21.48,21.71,1030539,1
21,21.45,21.74,21.4,21.64,1543821,1
22,21.36,21.79,21.26,21.52,974630,1
23,21.56,21.64,21.34,21.34,1312336,1
24,21.25,21.57,21.25,21.51,1167140,1
27,21.21,21.47,21.19,21.3,1122527,1
28,21.19,21.3,21.09,21.22,1673619,1
29,20.97,21.18,20.86,21.18,1587370,1
30,20.71,20.97,20.56,20.93,984610,1
31,20.56,20.75,20.46,20.58,847171,1
34,19.65,20.55,19.555,20.5,1712866,1
35,20.52,20.58,19.82,19.82,1253637,1
36,20.41,20.71,20.3,20.55,759018,1
37,20.33,20.55,20.13,20.4,700935,1
41,18.24,20.025,17.75,19.96,1891355,1
42,16.39,17.96,15.19,17.9,4291335,1
43,16.4,16.647,15.03,15.49,2481120,1
44,18.74,19.38,18.5,19.05,2088370,1
45,19.5,19.67,18.97,19.01,1645957,1
48,19.56,19.88,19.43,19.68,972838,1
49,20.07,20.19,19.47,19.47,559282,1
50,19.27,19.91,19.2,19.91,960799,1
51,19.46,19.81,19.31,19.44,527417,1
52,19.84,19.94,19.67,19.73,289933,1
55,20.07,20.36,19.72,19.83,426861,1
56,20.32,20.38,19.95,20.15,274484,1
57,20.48,20.776,20.24,20.24,794745,1
58,20.71,20.99,20.58,20.58,246664,1
59,20.51,20.91,20.39,20.77,329327,1
62,19.89,20.035,19.32,19.54,849273,1
63,19.97,20.03,19.46,20.03,597776,1
64,20.12,20.49,19.77,20.03,999733,1
65,20.51,21.02,19.945,20.11,857774,1
66,20.26,20.47,20.08,20.47,583431,1
69,20.04,20.32,19.921,20.03,568825,1
70,20.27,20.37,19.9,20.05,507058,1
71,20.29,20.53,20.22,20.32,224805,1
72,20.41,20.65,20.02,20.45,347594,1
73,20.65,20.82,20.43,20.55,404317,1
76,20.99,21.01,20.65,20.65,235906,1
77,20.68,20.99,20.31,20.83,409697,1
78,20.11,20.67,19.84,20.35,684665,1
79,20.25,20.35,19.95,20.26,463456,1
80,20.66,20.7499,20.16,20.16,401803,1
83,21.41,21.47,20.12,20.66,1039782,1
84,21.05,21.38,20.98,21.27,388720,1
85,20.42,21.11,20.4,21,679278,1
86,19.9,20.46,19.88,19.97,900666,1
87,19.27,19.99,19.26,19.66,1319185,1
90,17.77,18.46,15.92,18.18,2615631,1
91,17.28,18.71,17.24,18.36,789662,1
92,16.75,18.188,16.5,17.84,1640900,1
93,17.97,18.75,16.65,16.65,1765399,1
94,18.05,18.2299,17.5,18,876970,1
97,17.79,18.37,17.6,17.93,571325,1
98,17.24,17.55,17.08,17.16,962524,1
99,16.73,17.53,16.4,17.53,809931,1
100,18.07,18.1,16.74,16.97,809089,1
101,18,18.06,17.43,17.68,489835,1
105,18.31,18.38,17.95,18.07,783560,1
106,18.38,18.59,18.1,18.59,517911,1
107,18.16,18.36,17.62,18.32,383861,1
108,18.27,18.3,17.69,18.1,292237,1
111,17.69,18.11,17.57,18.11,228191,1
112,17.57,17.8,17.3,17.64,178469,1
113,18.07,18.21,17.71,17.81,392786,1
114,17.84,18.04,17.77,17.89,162625,1
115,18.08,18.17,17.57,17.62,403573,1
118,17.94,18.21,17.82,18.21,176975,1
119,17.01,17.87,16.97,17.69,503024,1
120,17.08,17.18,16.9,17.06,193994,1
121,17.7,17.74,16.82,17.1,424609,1
122,17.86,17.99,17.58,17.76,289998,1
125,17.49,17.86,17.11,17.79,663243,1
126,18.08,18.105,17.11,17.5,420212,1
127,18.28,18.459,18.13,18.15,465746,1
128,17.96,18.59,17.819,18.34,347529,1
129,18.46,18.59,17.84,17.94,695855,1
132,18.35,18.67,18.19,18.64,857086,1
133,18.04,18.42,17.81,18.21,984160,1
134,18.57,18.8,18.24,18.49,1058858,1
135,18.66,18.918,18.28,18.55,829476,1
136,18.93,19.1,18.7,18.77,577979,1
139,19.25,19.39,18.83,19.05,579385,1
140,19.37,19.6512,19.03,19.13,698027,1
141,19.55,19.67,19.13,19.3,599050,1
142,19.82,19.945,19.638,19.79,741020,1
143,20.24,20.39,19.73,19.92,1654402,1
146,20.3,20.48,19.99,20,735959,1
147,20.1,20.34,19.98,20.21,531140,1
148,20.01,20.18,19.722,20.08,764928,1
149,20,20.15,19.8,19.92,537084,1
150,20.06,20.37,19.82,20.32,397934,1
153,20.35,20.48,19.9,19.9,653397,1
154,20.18,20.37,19.94,20.37,704559,1
155,20.01,20.28,19.92,20.16,801760,1
156,19.98,20.12,19.91,19.96,535536,1
157,20.04,20.24,19.88,20.07,650467,1
TIMEZONE_OFFSET=-300
a1446498000,20.26,20.38,19.98,19.98,346869,1
1,19.92,20.25,19.77,20,977944,1
2,20.07,20.25,19.8,20.25,964451,1
3,19.88,20.02,19.67,20,503991,1
4,20.03,20.09,19.85,19.88,425779,1
7,19.82,19.91,19.67,19.91,387611,1
8,19.85,20,19.6,19.8,444058,1
9,19.77,19.96,19.665,19.85,335451,1
10,19.87,20.15,19.73,19.74,1417280,1
11,19.67,19.96,19.64,19.75,639436,1
14,19.68,19.88,19.51,19.53,606025,1
15,19.79,20,19.46,19.55,410529,1
16,19.74,19.86,19.51,19.75,348360,1
17,19.78,19.945,19.71,19.85,744133,1
18,20.04,20.17,19.74,19.85,2027851,1
21,20.17,20.6,19.98,20.09,1606404,1
22,20.12,20.225,20,20,612802,1
23,20.02,20.27,19.43,19.53,2107016,1
a1448647200,19.98,20.13,19.6,19.66,632937,1
a1448917200,20.83,20.84,19.976,19.99,1539687,1
1,20.71,20.97,20.41,20.69,743970,1
2,20.77,20.87,20.45,20.5,530778,1
3,20.51,20.875,20.37,20.78,2445851,1
4,20.24,20.65,20.16,20.5,2730355,1
7,20.26,20.54,20.11,20.25,1275923,1
8,20.26,20.3,20.01,20.16,1356988,1
9,20.37,20.5,20.11,20.17,1350644,1
10,20.34,20.41,20.19,20.34,738488,1
11,20.26,20.45,20.2,20.34,1013199,1
14,20.19,20.38,20.15,20.3,1099463,1
15,20.45,20.51,20.25,20.31,1082066,1
16,20.25,20.6,20.21,20.5,1521239,1
17,20.26,20.505,20.18,20.35,1364981,1
18,20.38,20.56,20.3,20.3,1647433,1
21,20.7,20.86,20.43,20.43,2853454,1
22,21.24,21.28,20.729,20.8,1491394,1
23,21.11,21.29,20.98,21.29,878433,1
a1450980000,21.22,21.32,21.11,21.18,472474,1
a1451336400,21.17,21.27,21.02,21.06,621851,1
1,21.18,21.25,21.13,21.23,427510,1
2,21.02,21.21,20.9925,21.12,915889,1
3,21.14,21.21,20.94,20.96,744197,1
7,20.76,20.87,20.46,20.59,1509795,1
8,20.7,20.89,20.66,20.74,595915,1
9,20.62,20.72,20.48,20.48,454621,1
10,19.97,20.37,19.89,20.17,2434296,1
11,19.84,20.38,19.75,20.13,1357592,1
14,18.71,19.97,18.54,19.83,2124198,1
15,18.54,19.4,18.23,18.99,2831312,1
16,18.69,19.39,18.56,18.56,2881843,1
17,19.24,19.26,18.45,18.85,1904372,1
18,18.84,19.18,18.43,18.96,1035474,1
22,19.47,19.86,19.1,19.45,1912283,1
23,18.95,19.26,18.51,19.1,1329675,1
24,19.13,19.45,18.8,19.1,754931,1
25,19.08,19.58,18.99,19.27,912835,1
28,19,19.3,18.95,19.15,682002,1
29,19.05,19.1775,18.71,18.83,544646,1
30,18.87,19.1,18.81,19.06,1396120,1
