EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=86400
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=-300
a345502800,0.5134,0.5156,0.5134,0.0000,117258400,1
3,0.4866,0.4888,0.4866,0.0000,43971200,1
4,0.4509,0.4531,0.4509,0.0000,26432000,1
5,0.4621,0.4643,0.4621,0.0000,21610400,1
6,0.4755,0.4777,0.4755,0.0000,18362400,1
7,0.5045,0.5067,0.5045,0.0000,12157600,1
10,0.529,0.5313,0.529,0.0000,9340800,1
11,0.5513,0.5536,0.5513,0.0000,11737600,1
12,0.5804,0.5826,0.5804,0.0000,12000800,1
14,0.6339,0.6362,0.6339,0.0000,13893600,1
17,0.6429,0.6451,0.6429,0.0000,23290400,1
18,0.6272,0.6295,0.6272,0.0000,17220000,1
19,0.6094,0.6116,0.6094,0.0000,8937600,1
21,0.6161,0.6205,0.6161,0.0000,5415200,1
24,0.6027,0.6049,0.6027,0.0000,8932000,1
25,0.5759,0.5781,0.5759,0.0000,11289600,1
26,0.5513,0.5536,0.5513,0.0000,13921600,1
27,0.5402,0.5424,0.5402,0.0000,9956800,1
28,0.5692,0.5714,0.5692,0.0000,5376000,1
31,0.5647,0.5692,0.5647,0.0000,5924800,1
32,0.5446,0.5469,0.5446,0.0000,5762400,1
33,0.5469,0.5491,0.5469,0.0000,3572800,1
34,0.558,0.5625,0.558,0.0000,3516800,1
35,0.5536,0.5558,0.5536,0.0000,3348800,1
38,0.5871,0.5893,0.5871,0.0000,10393600,1
39,0.5692,0.5714,0.5692,0.0000,7520800,1
40,0.5804,0.5848,0.5804,0.0000,3976000,1
41,0.5871,0.5915,0.5871,0.0000,8887200,1
42,0.5848,0.5893,0.5848,0.0000,2805600,1
45,0.5759,0.5781,0.5759,0.0000,6160000,1
46,0.5714,0.5759,0.5714,0.0000,5924800,1
47,0.5536,0.5558,0.5536,0.0000,7039200,1
48,0.5335,0.5357,0.5335,0.0000,10976000,1
49,0.5045,0.5089,0.5045,0.0000,11547200,1
52,0.4755,0.4777,0.4755,0.0000,5941600,1
53,0.4933,0.4955,0.4933,0.0000,4788000,1
54,0.5112,0.5134,0.5112,0.0000,6966400,1
55,0.5112,0.5156,0.5112,0.0000,1982400,1
56,0.5134,0.5156,0.5134,0.0000,3466400,1
59,0.4866,0.4911,0.4866,0.0000,4188800,1
60,0.4866,0.4888,0.4866,0.0000,4586400,1
61,0.471,0.4732,0.471,0.0000,3460800,1
62,0.4665,0.4688,0.4665,0.0000,3640000,1
63,0.4554,0.4598,0.4554,0.0000,2788800,1
67,0.4665,0.4688,0.4665,0.0000,3068800,1
68,0.4866,0.4911,0.4866,0.0000,4810400,1
69,0.4576,0.4598,0.4576,0.0000,5577600,1
70,0.433,0.4353,0.433,0.0000,6092800,1
73,0.4397,0.442,0.4397,0.0000,3528000,1
74,0.4241,0.4286,0.4241,0.0000,4244800,1
75,0.4509,0.4531,0.4509,0.0000,4872000,1
76,0.4576,0.4598,0.4576,0.0000,2710400,1
77,0.4732,0.4777,0.4732,0.0000,3690400,1
80,0.4755,0.4777,0.4755,0.0000,2940000,1
81,0.4688,0.471,0.4688,0.0000,4043200,1
82,0.4643,0.4665,0.4643,0.0000,3427200,1
83,0.4621,0.4643,0.4621,0.0000,1344000,1
84,0.4576,0.4621,0.4576,0.0000,2900800,1
87,0.4219,0.4241,0.4219,0.0000,3830400,1
88,0.4018,0.404,0.4018,0.0000,7095200,1
89,0.3862,0.3906,0.3862,0.0000,7464800,1
90,0.4018,0.404,0.4018,0.0000,14812000,1
91,0.3973,0.3996,0.3973,0.0000,57825600,1
94,0.413,0.4174,0.413,0.0000,9307200,1
95,0.433,0.4375,0.433,0.0000,10936800,1
96,0.4598,0.4643,0.4598,0.0000,9234400,1
97,0.4554,0.4576,0.4554,0.0000,9452800,1
98,0.4598,0.4643,0.4598,0.0000,3651200,1
101,0.4777,0.4821,0.4777,0.0000,5504800,1
102,0.4755,0.4777,0.4755,0.0000,7039200,1
103,0.4665,0.471,0.4665,0.0000,1764000,1
104,0.4576,0.4598,0.4576,0.0000,3068800,1
105,0.442,0.4442,0.442,0.0000,3063200,1
108,0.442,0.4464,0.442,0.0000,2475200,1
109,0.4375,0.442,0.4375,0.0000,3998400,1
110,0.433,0.4353,0.433,0.0000,8517600,1
111,0.471,0.4732,0.471,0.0000,7851200,1
112,0.4732,0.4755,0.4732,0.0000,4121600,1
115,0.4643,0.4665,0.4643,0.0000,5700800,1
116,0.4598,0.4621,0.4598,0.0000,2671200,1
117,0.4821,0.4866,0.4821,0.0000,5488000,1
118,0.4911,0.4933,0.4911,0.0000,3124800,1
119,0.4978,0.5,0.4978,0.0000,8366400,1
122,0.4978,0.5,0.4978,0.0000,4015200,1
123,0.4978,0.5,0.4978,0.0000,1663200,1
124,0.4732,0.4755,0.4732,0.0000,8512000,1
125,0.4464,0.4487,0.4464,0.0000,5969600,1
129,0.4598,0.4621,0.4598,0.0000,8836800,1
130,0.4911,0.4933,0.4911,0.0000,7134400,1
131,0.5089,0.5112,0.5089,0.0000,4748800,1
132,0.5223,0.5246,0.5223,0.0000,14504000,1
133,0.5179,0.5223,0.5179,0.0000,8764000,1
TIMEZONE_OFFSET=-240
a357249600,0.5134,0.5156,0.5134,0.0000,9632000,1
1,0.5045,0.5067,0.5045,0.0000,8047200,1
2,0.4978,0.5,0.4978,0.0000,3410400,1
3,0.5067,0.5112,0.5067,0.0000,3152800,1
4,0.5067,0.5112,0.5067,0.0000,4138400,1
7,0.5045,0.5067,0.5045,0.0000,3612000,1
8,0.5022,0.5045,0.5022,0.0000,4384800,1
9,0.4888,0.4911,0.4888,0.0000,4737600,1
10,0.4955,0.4978,0.4955,0.0000,2340800,1
11,0.5,0.5022,0.5,0.0000,1976800,1
14,0.4888,0.4911,0.4888,0.0000,2984800,1
15,0.4888,0.4955,0.4888,0.0000,1064000,1
16,0.4866,0.4933,0.4866,0.0000,1226400,1
17,0.4799,0.4844,0.4799,0.0000,1232000,1
18,0.4911,0.4978,0.4911,0.0000,1226400,1
21,0.5,0.5045,0.5,0.0000,1041600,1
22,0.4911,0.4933,0.4911,0.0000,6356000,1
23,0.5067,0.5112,0.5067,0.0000,3320800,1
24,0.5357,0.538,0.5357,0.0000,8052800,1
25,0.5603,0.5647,0.5603,0.0000,7856800,1
29,0.558,0.5603,0.558,0.0000,21336000,1
